Name;Date;Amount;Category;Notes
clarence cummerata sr.;2023-11-07;5842.89;Travel;Compello varius umbra.
Rosemary Greenholt;6-15-2023;7497.82; other ;Pauci reprehenderit attonbitus deserunt texo subiungo aveho quas sunt.
jackie kohler;2023-07-10;6202,69;Travel;Ipsa sulum calco aedificium decerno advenio terebro.
MR. BILLY RUTHERFORD;2023-06-08;1187.57;health;UNUS COEPI VITIOSUS.
Olga Thompson;2023-04-16;4073,97;Other;UNDE CREATOR DEPRECATOR CONDICO USUS VOLUPTAS.
Jermaine Von;5-27-2023;4453,84;Office; chirographum convoco deserunt certe decens aequus cruciamentum architecto capitulus. 
Ramiro Casper;15/1/2023;9761.45; Travel ;Canto derelinquo cito tertius.
Gerardo Hirthe;1-2-2023; 9919.40 ;office;Id circumvenio dedecor adversus agnosco carpo.
Lynda King;2023-11-16;1191.15;Food;Condico beatus textus adiuvo caries stillicidium eaque cerno traho.
  Kellie Tromp III  ;12-25-2023;800.70;health;carus valens vigor ambulo tero aeneus auctor.
MERLE HERMANN DVM;9-10-2023;2485,61;Food;Placeat stultus nulla autus chirographum.
Mr. Jan Haley;2023-04-22;127.86;Office;Velut maxime clamo.
  ms. tasha wehner  ;26/6/2023;1955.69;Travel;CONDUCO COERCEO VACO BENEFICIUM DEBEO CRETA.
Sally Gibson;16/12/2023; 4550.79 ;Travel;arceo amo aeternus sum denuncio defetiscor cedo vaco aperio.
  MISS ARLENE CONNELLY  ;12-15-2023;6131,71;Health;UBERRIME DEMONSTRO PATIOR ALIQUID VIRILITER NESCIUNT SUSPENDO ACER.
Jenny Ortiz;6-13-2023;1161.39;Travel;Solio antiquus condico abstergo correptius peior.
  Deanna Beier  ;10-30-2023;8134.04;health;cibo tres depraedor.
Johnnie Tremblay;2023-12-21;6854.35;Health;balbus studio auxilium aestus angustus ater subito.
  Ashley Mann  ;9/12/2023;2618.07;Travel;CREO DESIPIO ALIQUID AIT TEMERITAS DEMULCEO CALLIDE DEORSUM.
Dr. Monique Collier;2023-02-26; 2512,87 ;Health; Colo illo vobis strues vulpes cur ullam sublime. 
Allan Nitzsche;11/12/2023;6186,97;Travel;Neque cruentus curtus adhuc.
Anne Breitenberg;4-30-2023;8451.53; OTHER ;Clarus unus amiculum adimpleo.
SAM YOST DDS;7/8/2023; 6036.09 ;OTHER;Cetera modi concido tersus ipsa ullam somnus cibus absens.
  mr. marco robel iii  ;16/6/2023;8427.37;Other; cruentus synagoga cubitum tutis. 
Erin Gutmann;7-21-2023;5729.35;travel; Cohors vado casus truculenter aeternus est corrumpo subseco tener illo. 
Mr. Pedro Parker II;8-18-2023;8244.91;Health; Adipiscor credo damno. 
GILBERTO ARMSTRONG;5-27-2023; 7019.58 ;food;Utroque validus acidus volutabrum thymum adhaero vulariter.
Taylor Kreiger-Goyette PhD;16/7/2023;1416.05; Food ;ASPERNATUR EARUM CRUSTULUM CURRICULUM ELIGENDI TURBA SPECULUM VIRIDIS DENEGO DEPONO.
  debbie prohaska  ;8/9/2023;3132,82;health;DOLOREM CLARO DERIPIO TEXTILIS VERITAS AMICITIA TAMQUAM SUSTINEO QUOD EXPLICABO.
Juana Stokes;2023-01-19;4211.18; Food ; Auctor modi suggero consectetur bonus cerno vetus tui vis. 
Phyllis Sawayn;2023-09-07;7585.78;other;Comburo celo approbo.
dr. eileen cronin;2023-07-30;3689,60;OFFICE;celo defleo arguo.
Tricia Rolfson;7/6/2023;2666.37;food;natus confido considero libero tametsi possimus coerceo.
Clint Volkman;2023-02-04; 2576.17 ;Office;Velit umbra balbus aegrus acervus absorbeo clamo absconditus.
Maryann Swift;2023-01-19;2048.18;health;Temperantia clamo utor alioqui argumentum.
  TINA CHAMPLIN  ;11-10-2023;8055,57;Other;Campana repellendus amor conor.
Toni Hills;9-14-2023;3807,47;Food; Doloribus surgo impedit verbera asperiores adhaero. 
GILBERT LEBSACK;2023-11-25;1808.84;Travel;CUBICULARIS TEMPLUM EX BELLUM APERTE SAEPE.
  Kay Pfannerstill  ;2023-01-29;2851.17;Other;Suscipio natus vel anser ciminatio congregatio odio angulus somnus copiose.
Sara Smitham;2-24-2023; 5670.34 ; food ;Corporis audio eveniet comminor.
  MINDY ERDMAN DVM  ;10-11-2023;18,47;Health;Vacuus brevis animi adnuo beatus una barba repellat super.
Traci Tillman;6-13-2023;6157.56;Health;Termes ocer ademptio ventito solium usque thesis solum.
Tami Heidenreich;6-13-2023; 9391,55 ;Office;Aliqua adiuvo considero.
enrique o'reilly;4-2-2023;3563,61;Other;patior commemoro torrens magnam terreo aspicio error ubi.
Pearl Roob;10/7/2023;5723.62; Other ;caritas vorago debilito.
Wanda Renner;5-3-2023;9674,37;Office;timidus dolore perferendis desidero ater victus canis.
Sean Hickle;5-13-2023;2468.86;Other; Convoco calculus cerno depulso carbo corpus quibusdam quibusdam cedo. 
Theodore Lemke;1-28-2023;4069.66;Office; Sordeo unus teneo viriliter cerno trado. 
  Jackie King  ;28/4/2023;5867.27;Other;Solvo sufficio coaegresco curatio crustulum auctor laboriosam apto.
Ms. Charlene Swaniawski;2-26-2023;2772.27;travel;Crinis caelestis tantum arcesso tabernus quas catena deporto termes.
Dr. Elena Metz;17/7/2023; 7241,70 ;Travel;exercitationem ocer cibo appello depulso amor terror.
virgil wintheiser iv;2023-10-21;6342.63;TRAVEL;tertius beatus ipsum.
marc jast;12/4/2023;8562.06;FOOD;auxilium angulus ultra calamitas suus cur angustus vulgaris.
Wendell Murray;8-18-2023;3108.73;Travel; degusto tenus curvo animadverto claustrum cum ut avaritia vester velum. 
Della Mante Jr.;11-14-2023;945.61;Other;REICIENDIS SULUM SUBNECTO CAPILLUS AQUA.
Charlene Wilderman;2023-09-15;3224.96;Other;Spero cubicularis maiores tener utor catena veniam carpo.
HARRY MAYER;17/7/2023;740,38; OTHER ;Laboriosam quae concido amplexus incidunt clarus.
Martin Runolfsdottir;19/6/2023;5027.04;Other;viridis sub auctor vulticulus vulnus.
Mack O'Reilly;2023-10-07;7040,60;travel;Decimus reprehenderit caelestis autus arx bos corroboro.
KAY BRADTKE-LOCKMAN;2-14-2023; 1341.47 ;Food;Vinitor terminatio tero acies coadunatio corrumpo itaque teneo tener apostolus.
PAT BOYLE;2023-10-03;6476,24;Food;cervus aegrotatio perferendis carpo derelinquo utroque debeo dolores vapulus tabula.
raquel kovacek;2023-10-10;8727.62; Food ; Fugiat ver aliqua. 
Alfonso Marks;24/11/2023;7474,91;Office; armarium deludo caries conspergo. 
Johanna Johnson;2023-07-17; 9309.88 ;Other;Cotidie versus vulgaris curiositas alo pectus congregatio vulpes.
Lola Jenkins;8/11/2023;8000.52;food; Stillicidium appositus compello vinculum officia derelinquo absorbeo. 
Reginald Ortiz;10-17-2023;8286,81;Office;Celo sit confugo placeat dicta neque.
Paula Crist;8/4/2023; 6342.36 ;TRAVEL;altus ciminatio torqueo civis desino conitor aestivus maxime cupressus.
Ginger Littel;30/6/2023; 757.08 ;Travel;Vado adflicto ver abstergo demo deinde cohaero audax vel.
Jackie Jacobi;12/5/2023;8394,13;office; sui arx clementia vindico animadverto vinum. 
  Woodrow Sporer MD  ;12-30-2023;7925.29;Other;Ventus vir aestas tunc.
Mathew Kshlerin;2023-01-18;6319,82;food; Vilicus concedo suffoco defluo. 
carlton murray;5-24-2023; 7840.99 ;Office;VILIS CANTO EVENIET REPELLAT.
Felicia Barton-Runolfsson;29/9/2023; 1899.22 ;OFFICE;Ultio earum volva sui dolorum demitto mollitia apto.
June Bosco;10-14-2023; 8624.26 ;Travel;EUM DELEGO VITAE VOLO DEFICIO NOBIS.
  stephanie kutch  ;7-28-2023; 3337.78 ;OFFICE;Angulus amita currus convoco incidunt beatae vir.
Gertrude Romaguera;4/11/2023; 1666.72 ;Other;Eligendi sui absorbeo cui.
John Haley;11-21-2023;7834.86;Travel;Vesco capio stultus dolores cuppedia admitto.
Andy Zieme;23/7/2023;7342.98;HEALTH; summa quia addo desparatus. 
  mercedes kerluke  ;28/10/2023; 3689,00 ;other;Arbor delectatio degusto clibanus caute supra cavus omnis amet.
  mitchell dooley  ;14/2/2023; 8113.79 ;OTHER; Adimpleo tepidus temptatio voluptatibus defleo aufero solus quisquam tergiversatio. 
Maureen Keebler MD;8/3/2023;8426.83;Travel;Vitiosus balbus ver ipsam desipio celebrer chirographum crebro congregatio.
Ms. Sabrina Zieme;16/12/2023;6240,81;Food;amplitudo combibo peior.
LOIS CORWIN-BRUEN;16/8/2023;8397.71; travel ;Trans sulum tredecim dolorum.
Bessie Schroeder;2023-06-29; 3615.71 ;Travel;Illum ars autus adversus adfectus decerno statua.
Howard Russel III;25/12/2023;782,12;health;tamen est comprehendo cunctatio tenus civitas censura.
dominick mayert;2023-08-17; 9286,68 ;health; tendo veritas deleo theologus correptius cogito dolorem. 
irma prohaska;2-18-2023;1449,50;Travel;Adficio vesco supellex vomica.
Dr. Israel Stamm-Collier I;10-22-2023;383,96;Other;Tametsi vilicus stultus claudeo denuo coaegresco cohaero caterva tamquam.
  Brenda Mohr  ;7-15-2023; 176.03 ;Health;concido adopto rerum abeo depono socius quia allatus capto.
  Gerardo Quigley  ;2023-10-20;2987,07;Office;Tempus arca sperno amicitia terra cauda adnuo adsidue adopto praesentium.
MS. WILMA BOSCO;18/12/2023;1172,41;Travel;Saepe amet commodo recusandae cras quia assumenda textor summisse.
  Shelia Lemke  ;1-15-2023;1912,81;Health;Incidunt tamquam collum constans summopere crastinus audeo tego tutamen.
earl koss sr.;16/7/2023; 4789,03 ;office;Suscipit iure carmen ventosus tondeo.
Devin McKenzie;8-13-2023; 782.46 ;Office;VIGOR COGITO APERTE DEORSUM CRUX.
Marie Howell;2023-03-08;2107.46;Office;Recusandae sono degenero demulceo carpo aperio curo charisma circumvenio.
DOREEN BOSCO;8/9/2023; 1165.90 ; FOOD ;Terra vero tremo cogo magnam corona.
  Donald Lockman  ;13/11/2023;7649.99; Food ;Sto dapifer modi animi.
Laverne Stracke;2023-05-08;473.67;Office;Studio dolorum calco tempus paens degero.
Tina Conn Jr.;2023-05-02;5489.39;Health;Maiores aperio dolores comminor doloremque libero autem.
Phil Vandervort;4/10/2023;1393.80;Travel;Vulgus perferendis ultio tempore curso textilis quisquam varietas.
doyle hammes;2023-05-13;1868,52;Other;Decet depulso subito.
  PETE HARRIS  ;5-9-2023;303.76;Other;vestrum deserunt solum vado antepono vindico.
Bryan Schulist;2023-10-22;5022.95;Other;TOLERO TITULUS CARMEN DICTA ADHUC APTO VELIT MOLLITIA.
CARRIE UPTON;27/2/2023; 8431.10 ;Food;AETERNUS CAELUM TEXTOR DOLOREMQUE CARITAS EOS TAM CREDO.
WENDY STROMAN;2023-11-22;9322.81;Office;ter voveo solvo solium thorax.
Thomas Schoen;7-2-2023;7359.21;Other;incidunt officiis coniuratio.
  Steve Halvorson-Rau  ;3/9/2023; 9041,88 ;Office;Vereor laboriosam patruus decet.
Dr. Clyde Fay;24/12/2023;3906.28;OTHER;Quos ante compono.
Nora Funk;9-18-2023;4901,43;Office;Artificiose appono utrimque vespillo aeneus ultio deduco torrens canonicus patrocinor.
BENNIE JOHNSTON;2023-10-18;6191,08; TRAVEL ;Vereor volutabrum bellicus synagoga ulciscor demum.
roland krajcik;9-2-2023;9177.32; Other ;Tonsor causa adversus depopulo aro expedita.
  Stewart Muller  ;4-18-2023;2382.42;OTHER;Ea sui cruentus via asperiores.
Joe Haag-Corkery;8-31-2023;6301,02; office ;Velociter alienus temptatio.
MRS. LILLIE BAILEY;9-21-2023; 7064,11 ; travel ;titulus arx arca deputo infit decet advenio comprehendo sequi vulgivagus.
Alyssa Murazik;2023-09-22;9277.31;OTHER;Adamo tristis substantia adeptio numquam stips conspergo sit ars.
  Melvin Hyatt  ;3/8/2023;5173.74;Other;Itaque tamisium bis aveho pecus.
Robyn Boyle;1-14-2023;5118.45;OFFICE;uberrime thema acer suscipio tricesimus adsum contego viscus.
Joanne Reilly;11-21-2023;2039.53;Travel;SOLUS IUSTO AMPLUS HARUM CONITOR DAMNO.
sherri johnston;2023-06-21;8952.50;Other;delibero theatrum curvo triumphus.
  DERRICK BARTON  ;10-6-2023; 1870.52 ;Travel;comptus stabilis reprehenderit compono varius.
BOBBIE BLICK;2023-05-07;3999,01;Travel; NULLA AMO UNDE AMARITUDO CARPO UMERUS CUPRESSUS. 
Larry Okuneva;2023-04-25;2935.18;food;ARMA DEMERGO STO ODIT COADUNATIO.
Ken Kling;5-30-2023;6414,53;Other;Cedo aestas aeneus.
ernesto stanton;24/5/2023; 9858,35 ;Office;Vitae ulciscor cohors quidem desipio.
  Miss Lynn Nicolas-Stark  ;13/4/2023;5967.77;Travel;Vilitas testimonium terminatio celebrer tempora delego.
roman langworth;14/1/2023;9209.21;Travel;ACCEDO VOLUPTAS ASSENTATOR AMICULUM ABSCIDO CLAMO TALIS CLAMO MOLLITIA.
Guillermo Howell;25/8/2023;7831.96;office;Denuncio comitatus audentia arca ratione suscipit spectaculum adeptio textilis.
SAMANTHA WEHNER SR.;8/8/2023; 1534.61 ;travel; Adnuo peccatus explicabo dolorum quisquam sum demitto auctus error. 
nick rogahn;6/11/2023;1063.93;Office;crudelis clibanus aveho accendo spargo assentator.
ELEANOR POLLICH;23/2/2023; 7743.34 ; Office ; Vicinus suggero aggero deficio natus aliqua ventus administratio tergum alioqui. 
MONIQUE HOPPE;2023-11-11;6820.98; Food ;Clementia vinitor argentum tabula.
Eula McLaughlin;9/5/2023;3045.68;other;SUMMOPERE TERO VERSUS SYNAGOGA.
Maurice Tromp;27/10/2023; 8309,22 ;OFFICE;tempus curia triumphus corpus adsuesco titulus spiritus valeo architecto curatio.
  DAISY BEATTY  ;24/5/2023;1620.66;Other;comminor cedo demergo ulciscor sopor architecto valde copiose vir.
Dr. Tommy Kunde;12-17-2023;8956.65;Other;Deficio laudantium sustineo cursim tondeo crepusculum cado videlicet degero.
Opal Hodkiewicz;2023-10-12;5638,68;travel;Appono charisma perspiciatis creator decretum decor tripudio constans tardus conduco.
  April Kuphal  ;2023-01-23;5571.67; Food ;Solitudo spiculum tamen catena thesis sapiente recusandae accusamus verecundia.
Dr. Meredith Wunsch;2023-01-27; 925.56 ;Travel;Soluta basium comes theologus universe absens copia.
gilberto homenick;1/7/2023; 2317.59 ;Travel;Subnecto amicitia crinis accendo.
  Preston D'Amore  ;3-14-2023;7468.69;Office;Strenuus auditor iste.
  SALVADOR KUNZE  ;2023-12-29;771.19;TRAVEL; Quidem deduco arbitro porro deleo via. 
Allen King;2023-09-23;3784,71;Office;Audacia cibus bellicus creptio acceptus voco.
bradley morissette iv;1-12-2023;1164.37;health; Consuasor ater ventus laudantium denuo cilicium. 
Ernestine Parisian;8-8-2023;1257.38;Health;Viscus apto certus sui decerno summopere bis dignissimos ex demergo.
  barbara watsica  ;2023-07-25;833,96; Travel ;Maxime paulatim carpo.
  Earl Franey  ;2023-06-09;8189.05;Other;Colligo vae cetera comminor utique cimentarius eaque.
leroy ondricka;12-9-2023; 5355.87 ;Office; Reprehenderit cerno statim sum dignissimos thema. 
Kelly Ryan;2/3/2023; 5511.30 ; Travel ; Patior undique chirographum ipsam calamitas urbs temperantia agnitio viscus antiquus. 
LYNN MILLER;2023-10-02;3189.33;Office;odio vigor decimus.
Marcos Emard;1-27-2023; 2665.00 ;health;Vix accedo minus alienus curriculum maiores.
DR. CAROL FARRELL;4-21-2023;7037,23;Travel;Aeternus solium tandem comprehendo cumque coruscus ea.
ROSA BOYER;21/1/2023;7340,87;Other;Sulum vobis combibo enim vel arca pecto complectus.
Ramona West;2023-02-01;3930.94; Food ;TIMIDUS CARBO URBANUS SUBVENIO COMBURO CORREPTIUS DESPARATUS ANSER VERUS ISTE.
IDA DENESIK DVM;15/5/2023;2899,50;Other;Amo acquiro terebro.
  Bonnie Konopelski  ;6/8/2023;2773.37;Food;Decretum cupio vado corroboro cruentus arceo.
mr. marco deckow;5-30-2023;6641.09; Office ;universe aperte vehemens.
Rosie Spinka;2023-08-01; 8428.42 ;Travel;Vilitas comedo crustulum abeo crur.
ANGELINA GIBSON;18/11/2023;8426.83;OTHER;A patrocinor facere deputo communis tunc porro paulatim solio defaeco.
Maria Turcotte;2023-11-29;6733.21;office;Creo ambulo depopulo attollo vomica abeo xiphias cibo ducimus.
Conrad Volkman-DuBuque PhD;7-19-2023;3817.15;Food;TERGA SAPIENTE CONVENTUS.
Linda Zieme;2023-07-03; 4864.83 ; other ;Rem esse voluptas cunctatio cunabula arbustum talio.
  Roman Maggio  ;2023-04-14;8094.08;OFFICE;TEPESCO DISTINCTIO TAMEN VENUSTAS TEPIDUS.
  Clifton Schumm  ;2023-07-13; 5573.86 ;FOOD;CURTUS AUDEO IPSAM VERBUM UBI ALIOQUI CIBUS ACCUSAMUS.
Michele Keebler;23/9/2023; 7806.27 ;travel;Tui tertius caecus tertius.
Don Gutmann;7/9/2023;8727.16;Other;cupressus bellum vomer civis cognatus sustineo voluntarius.
  candace schroeder-graham  ;2023-04-05;4767.00;FOOD;Succurro aedificium vomer cometes vulgo eaque cresco cariosus.
Tyler Hills;13/9/2023;3728.84;travel;In spargo videlicet cinis.
  belinda kilback phd  ;2023-10-15;7134.99;Travel;SOLLERS PECTUS VULGO VERECUNDIA AESTUS SUPER.
Tracy O'Keefe;13/4/2023;7035.44; Food ; Amoveo thermae absens villa cado sustineo adimpleo. 
lamar stokes;7/2/2023; 7243.45 ;Other;Cohaero odit laudantium damno dolores subvenio video velut ter umquam.
marcos rau;4-28-2023;5004,59;health;CONTABESCO UMQUAM PATIOR SUMO EARUM.
Arnold Hoeger;21/5/2023;7556,33;Health;CAPILLUS CINIS SUNT SOMNICULOSUS CIRCUMVENIO LABORUM SOLUS TENETUR.
DANNY TURCOTTE;15/1/2023; 3240.97 ;other; Civitas consectetur cursim illo unus thorax deleo. 
nina satterfield sr.;22/6/2023; 4560,68 ;Travel;Voro asperiores assumenda apto.
tamara schumm;6-18-2023;3394.81;Food;MINUS SINT SOLUM.
Ronald McDermott;2023-03-21;4876.15;other;Animus tepesco annus tremo vel substantia distinctio apto tabesco patrocinor.
shelia rempel;27/8/2023;7808.48; Other ;Dicta talis facere decimus damno certus verecundia.
Shelley Bartoletti;1-29-2023;725.57;Health; Ultio comprehendo speciosus adhaero curto. 
Darren Fahey;2023-11-02;3314.82;Food; Spiritus defleo cogito consectetur vorax subito. 
Emilio Davis;7-22-2023;176.29;Food;Strenuus theca carmen conforto.
Scott Welch;7-30-2023; 25,65 ;OTHER; Quidem capillus defleo amplus cubicularis virgo trucido defungo. 
CLAY COLE;7/1/2023; 1047.97 ; travel ; occaecati aegrotatio illo. 
josephine mills;3/7/2023;7157.80;Other; Admoveo tabula adulatio sonitus vorago calculus tergum victus eum vigor. 
  Mona Brakus  ;2023-11-28;6913.80;HEALTH;Sit illum eveniet minima eos demitto.
MR. ALONZO KUHN;12-12-2023;8401.64; Food ;Natus officiis aequus triduana.
Dr. Carol O'Kon;10/1/2023;9080.81;Office;credo surgo quam volubilis voveo tonsor acidus tyrannus abscido.
Wesley Baumbach;2023-01-08; 4838.83 ;Travel;ODIT ANSER SPERO AMBULO TENEO.
Elsa Larson;2023-04-01;7531.18;Travel;Ver corona recusandae apud adfero cognomen deficio molestiae.
  ELEANOR HEGMANN  ;12-10-2023;5402,23;HEALTH;COLLIGO TITULUS DEFLEO ISTE CUI IURE CUNAE VIRGA APPONO CUBO.
  raymond barton jr.  ;10-28-2023;6940.02; other ;Canto audax aptus tener tenax.
Mattie Renner;12-11-2023;2846.63;Office; vado careo certus inflammatio valeo texo officia volutabrum adulescens culpa. 
Latoya Quitzon;2023-09-16;5290.17;HEALTH;CUBITUM CANDIDUS CEDO ARGUO DENUNCIO.
mr. anthony stroman;3-8-2023;9589,37; Food ; Vado quos spes. 
Dr. Jose King;2023-04-20;8838.65;Office;Claustrum in tertius ter tendo suasoria copia atque.
Donald Wehner;6/10/2023;317.40;Health;Tener demonstro repellat vespillo tonsor.
  Mr. Santiago Schulist  ;2023-07-15;6169.17;Office;certe confero cicuta spargo modi deserunt circumvenio conduco repellat impedit.
Fredrick Schmidt;12/3/2023; 6982,76 ;OTHER;Campana arcus sufficio ut cupiditas toties carus thesis.
WILLARD FERRY;2023-10-21;845.98;Office;Demitto capitulus tenetur reiciendis tremo agnitio articulus.
Sadie Hyatt;7/5/2023; 7880.63 ;Office;Acervus tactus accusamus apparatus canis artificiose.
Anthony Botsford;10-13-2023; 5352.50 ;travel;speculum consuasor enim celo sodalitas texo.
damon donnelly;2023-02-25;1416.54;Food;Rerum solum blanditiis curso valeo circumvenio deficio.
oliver hudson;19/6/2023;1523.08;Food; comitatus sumptus officia vel. 
Julia Osinski;7-2-2023;430.89; Food ; Trepide spectaculum depono cribro aedificium comitatus demens tandem. 
Betty Schimmel MD;2023-12-24;1659.53;Other;cibus alienus admoneo vitae ater animadverto.
CLAY BROWN;2023-09-28;3068,95;HEALTH;Arcesso cupiditate compello eveniet.
  Wanda Frami  ;4/6/2023;9051.55;Food; Theologus repudiandae alias. 
  Edith O'Connell  ;2023-04-06; 6405,31 ;Office; defessus praesentium adeptio comprehendo decerno tamquam. 
lila effertz;2023-06-17;9786.15; TRAVEL ;Villa uberrime quidem cohors benevolentia quos cado damno doloribus volubilis.
  dr. johnathan streich  ;2023-11-19;7985.10;Office;Crastinus comes clibanus.
  DANIELLE GRADY  ;2023-08-30;9607,89;Health;BENIGNE ABSTERGO UNUS TERO ADMOVEO TIBI ADHUC.
Jane Boyer;2023-03-01;7869.30;Food; delinquo utique sit. 
Isabel Schneider;1-11-2023;3860.74;Other;pauci crux ipsa depono valetudo color tenax tero.
Elbert Davis DDS;1-21-2023; 6090.52 ;other;coma vito alo vorago beatus terebro vulgus stabilis volup.
warren baumbach;10-9-2023; 6279.47 ; Travel ; Deripio cogo ara coadunatio delego conforto blandior acies conitor. 
Miss Luz Boehm;2023-09-04;3742,44;FOOD;Compello subseco texo subvenio voluptas sumptus vulnus adopto cattus.
  dr. robert watsica  ;13/12/2023;1125.45;Travel;ea tondeo crastinus tardus aiunt defluo maxime damnatio doloremque tredecim.
Lucy Hudson;3-9-2023;5928.44;office;Admitto ars demonstro caute.
wilma lynch;4-9-2023; 9044,43 ;office;CORRUMPO FUGIT AGGERO EAQUE CENO.
Gina Aufderhar;2023-02-23; 1471.54 ;Food;Rerum solium coadunatio cohors coma.
Sam Leuschke;5/10/2023;1010.99;Health;TIMOR COHAERO CULTELLUS EXPEDITA APPARATUS.
Kristine Raynor;2023-02-11;1015,43;Office;decet terror tabesco comis coadunatio aegrus vereor.
  Sophia Mitchell  ;26/8/2023;933,72;Travel;Tubineus culpo templum.
Dr. Arturo Langworth;2023-09-13;6219.29;OFFICE; averto titulus adsidue harum condico. 
Maurice Hartmann;11-26-2023; 2417.33 ;HEALTH;Coruscus ancilla pectus cultellus vobis conitor adstringo aegrotatio.
Jerald O'Keefe II;3-21-2023;8411.54;Travel;Cogo sulum ascisco vesica dignissimos apparatus bardus tego sui valens.
miss jeannie gusikowski;25/6/2023; 9553.07 ;Office;TAMEN VORAX CURSO SUCCURRO ACSI DELIBERO DOLOR TERMES ADAMO.
  Dr. Vanessa Orn  ;5-7-2023;9336.67;Travel;Beatae iste vitium.
  Mario Ledner  ;9-8-2023; 1391,15 ;HEALTH;Approbo tricesimus vita aveho pecto vilis cura.
BARRY SCHULTZ-UPTON MD;5-28-2023;3831,80;Food; CURIS CRUR TANDEM ATER CENACULUM SOLITUDO VOLUPTATES DOLOREM SUFFRAGIUM. 
  Randy Wilkinson  ;2/12/2023;3904,25; Travel ;tenax temptatio armarium.
Eddie Konopelski;7-18-2023;7360.09;travel; quidem charisma tamisium ter arbor aequus odit facere tergiversatio. 
NOAH DAVIS;2023-04-09; 7528,39 ;Food; ADIPISCI CIMINATIO RECUSANDAE. 
Roderick Murphy;7-5-2023;9904.80;Other; Alius crepusculum valens copia sui spes. 
Glenn Dicki;24/4/2023; 658.20 ;Food;Turpis tametsi inflammatio canonicus blandior calcar.
henrietta harvey;2023-08-23;6052.77;Health;Creator ceno abundans peior adsidue.
Grace Dickinson;2023-05-08;5554.32;Travel;ACIDUS VOS VOVEO PATIOR VOLUNTARIUS DEPRECATOR SPICULUM SUPPONO LABORUM ADVENIO.
Ms. Jan Gulgowski;3-30-2023;747.48; Travel ;laudantium reprehenderit caveo admiratio vallum.
MARCO BRADTKE-DOOLEY;10-22-2023;4202.63;Travel;Itaque vis utpote adipiscor cilicium ustilo spectaculum placeat demonstro.
  Lindsay Hills  ;27/1/2023;6853.55; other ;Tero convoco vitae averto succurro vinco agnitio expedita.
Miss Kara Gerlach;5/3/2023;5491.87; Health ;curriculum cruciamentum sponte.
ANNE CONN;2023-05-05;4882,63; office ;Quo venio recusandae speculum.
Lucy Bins;20/5/2023;7965,55;Office;Vobis constans cultellus adaugeo cinis cursus veritas asperiores careo.
Susie Wolf;4-17-2023;2766,47;other;TREMO ADFERO ADIMPLEO SOLLICITO QUAERAT.
Barry Oberbrunner;9-30-2023; 7713.63 ;other;ubi caveo acceptus.
Jessie Adams;14/12/2023; 5107.81 ;travel;Universe crux succedo supellex occaecati tremo vilis antepono curto.
Francis White;12-4-2023;7248.68;Health;Talio minima vitium saepe adicio charisma acer utpote.
Angel Blanda;2023-04-15;4992.60;OTHER;Aptus aurum patruus conatus.
Dianna Torphy;10-30-2023;6500.55;office;Subito commemoro virgo magnam velit cum certe quisquam.
Andrew Becker V;11/9/2023;458,76;Travel;Arcesso eveniet repellendus ratione dedecor conicio alter vereor voluptatem carmen.
Cesar Homenick;29/9/2023; 7048.83 ;Health;CETERA VIA ISTE CHIROGRAPHUM TIMIDUS DEPUTO APTUS DOLOR URBANUS COLLIGO.
Georgia Lowe;2023-04-18;7310.46; food ;Cibus vaco terminatio.
Van Paucek;2023-05-15;2983.36;Travel;Laudantium nihil desidero sum cariosus caste stipes.
Roosevelt Purdy;2023-06-10; 4686.87 ;Office;Speciosus cubo delego cohibeo tenus aperio umbra vomer deinde.
Mr. Carlos Ledner Jr.;7-27-2023;7016.98;Other; VOMER ALVEUS DESIDERO COMBIBO SUFFICIO VORAX ASPORTO CAPILLUS CREPUSCULUM CAELESTIS. 
Dr. Robyn Macejkovic-Aufderhar;10/7/2023;5810.33;other; Terra corpus centum. 
MRS. FLORENCE SIPES;22/5/2023;3790.13;FOOD;Defessus apto sordeo terminatio fugiat eius victoria.
Barbara Wintheiser;2023-03-29;159,42;Office;Bellum solus umbra delectatio charisma peccatus thema.
Roosevelt Breitenberg III;2023-10-31;5206.08;Travel;caecus vulpes distinctio.
Jessica Blanda;1/12/2023;6927,30; Other ;Cresco stabilis vesica iure dolorem.
georgia wintheiser;5-21-2023; 7630.47 ;Food;admiratio absorbeo aeger vito confugo bellum temeritas verto magnam.
  Cody Connelly  ;8-29-2023; 1955.36 ;OFFICE; VOLVA REICIENDIS ADOPTO CAUTE SOLIO BELLUM DEDICO UTILIS ASSENTATOR TRUCULENTER. 
Arlene Ullrich;21/8/2023; 2128.40 ;travel;Pecto vivo asperiores ipsam amaritudo thalassinus.
jim keeling;2023-01-02;6250,86;other; Verus chirographum tabella. 
  georgia kihn  ;9/1/2023;7251,68;office;COMBIBO ATQUE SOLUTA AGER COLLIGO PAX TERMES SUBSECO.
jamie wisoky;1-11-2023;9217.44;office;Summa vomica confugo cohaero.
Della Cummings I;26/1/2023; 4750.81 ;other; dedecor ustulo testimonium valens. 
ANTONIO MULLER;26/1/2023; 6875.82 ;Health;Quis cibus avaritia laudantium caecus.
Nina Rice;26/6/2023;5794.88;Office;Dolores comptus odit sollers uredo comparo.
Sheila Cartwright;29/3/2023;8647,67;Food; Demonstro cogo creta. 
